Iteration,BatchSize,UserIndex,UserAddress,PenaltyAmount,FinalBill,Latency(s)
1,52,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.59
1,52,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.708
1,52,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.614
1,52,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.819
1,52,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.539
1,52,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.623
1,52,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.523
1,52,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.676
1,52,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.674
1,52,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.722
1,52,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,33000000000000000,967000000000000000,0.823
1,52,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,33000000000000000,967000000000000000,0.614
1,52,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,33000000000000000,967000000000000000,0.695
1,52,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,33000000000000000,967000000000000000,0.545
1,52,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,33000000000000000,967000000000000000,0.586
1,52,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,33000000000000000,967000000000000000,0.617
1,52,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,33000000000000000,967000000000000000,0.688
1,52,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,33000000000000000,967000000000000000,0.615
1,52,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,33000000000000000,967000000000000000,0.549
1,52,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,33000000000000000,967000000000000000,0.566
1,52,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,33000000000000000,967000000000000000,0.695
1,52,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,33000000000000000,967000000000000000,0.614
1,52,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,33000000000000000,967000000000000000,0.613
1,52,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,33000000000000000,967000000000000000,0.614
1,52,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,33000000000000000,967000000000000000,0.57
1,52,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,33000000000000000,967000000000000000,0.513
1,52,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,0,0,0.797
1,52,28,0x40A469977F73155B263A008d1372127afE9FAF55,0,0,0.613
1,52,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,0,0,0.657
1,52,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,0,0,0.621
1,52,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,0,0,1.004
1,52,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,0,0,0.593
1,52,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,0,0,0.512
1,52,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,0,0,0.854
1,52,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,0,0,0.628
1,52,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,0,0,0.598
1,52,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,0,0,0.646
1,52,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,0,0,0.485
1,52,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,0,0,0.518
1,52,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,0,0,0.491
1,52,41,0xEc276022f61BeC020140D4b84835b83E29669035,0,0,0.591
1,52,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,0,0,0.592
1,52,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,0,0,0.538
1,52,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,0,0,0.84
1,52,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,0,0,0.677
1,52,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,0,0,0.5
1,52,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,0,0,0.775
1,52,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,0,0,0.566
1,52,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,0,0,0.614
1,52,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,0,0,0.575
1,52,51,0xb59A94067ab007c0BF1cfe30Efa06e21aDb72bDc,0,0,0.538
1,52,52,0x994a854528c41B33660B86FEd54D99B325617adc,0,0,0.615
2,52,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.613
2,52,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.631
2,52,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.616
2,52,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.601
2,52,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.859
2,52,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.576
2,52,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.924
2,52,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.919
2,52,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.526
2,52,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.674
2,52,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,33000000000000000,967000000000000000,0.766
2,52,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,33000000000000000,967000000000000000,0.498
2,52,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,33000000000000000,967000000000000000,0.704
2,52,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,33000000000000000,967000000000000000,0.6
2,52,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,33000000000000000,967000000000000000,0.608
2,52,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,33000000000000000,967000000000000000,0.6
2,52,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,33000000000000000,967000000000000000,0.513
2,52,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,33000000000000000,967000000000000000,0.598
2,52,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,33000000000000000,967000000000000000,0.593
2,52,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,33000000000000000,967000000000000000,0.819
2,52,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,33000000000000000,967000000000000000,0.557
2,52,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,33000000000000000,967000000000000000,0.545
2,52,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,33000000000000000,967000000000000000,0.701
2,52,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,33000000000000000,967000000000000000,0.617
2,52,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,33000000000000000,967000000000000000,0.6
2,52,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,33000000000000000,967000000000000000,0.503
2,52,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,0,0,0.617
2,52,28,0x40A469977F73155B263A008d1372127afE9FAF55,0,0,0.675
2,52,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,0,0,0.615
2,52,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,0,0,0.537
2,52,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,0,0,0.716
2,52,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,0,0,0.601
2,52,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,0,0,0.806
2,52,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,0,0,0.789
2,52,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,0,0,0.5
2,52,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,0,0,0.851
2,52,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,0,0,0.675
2,52,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,0,0,0.525
2,52,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,0,0,0.58
2,52,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,0,0,0.613
2,52,41,0xEc276022f61BeC020140D4b84835b83E29669035,0,0,0.618
2,52,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,0,0,0.513
2,52,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,0,0,0.547
2,52,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,0,0,0.599
2,52,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,0,0,0.512
2,52,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,0,0,0.54
2,52,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,0,0,0.621
2,52,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,0,0,0.631
2,52,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,0,0,0.714
2,52,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,0,0,0.63
2,52,51,0xb59A94067ab007c0BF1cfe30Efa06e21aDb72bDc,0,0,0.882
2,52,52,0x994a854528c41B33660B86FEd54D99B325617adc,0,0,0.715
3,52,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.705
3,52,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.71
3,52,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.612
3,52,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.615
3,52,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.665
3,52,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.604
3,52,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.523
3,52,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.646
3,52,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.504
3,52,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.693
3,52,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,33000000000000000,967000000000000000,0.477
3,52,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,33000000000000000,967000000000000000,0.606
3,52,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,33000000000000000,967000000000000000,0.894
3,52,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,33000000000000000,967000000000000000,0.689
3,52,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,33000000000000000,967000000000000000,0.691
3,52,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,33000000000000000,967000000000000000,0.612
3,52,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,33000000000000000,967000000000000000,0.606
3,52,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,33000000000000000,967000000000000000,0.614
3,52,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,33000000000000000,967000000000000000,0.812
3,52,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,33000000000000000,967000000000000000,0.593
3,52,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,33000000000000000,967000000000000000,0.542
3,52,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,33000000000000000,967000000000000000,0.615
3,52,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,33000000000000000,967000000000000000,0.612
3,52,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,33000000000000000,967000000000000000,0.717
