Iteration,BatchSize,UserIndex,UserAddress,PenaltyAmount,FinalBill,Latency(s)
1,100,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.446
1,100,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.712
1,100,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.437
1,100,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.423
1,100,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.443
1,100,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.403
1,100,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.447
1,100,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.464
1,100,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.385
1,100,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.612
1,100,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,33000000000000000,967000000000000000,0.435
1,100,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,33000000000000000,967000000000000000,0.43
1,100,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,33000000000000000,967000000000000000,0.426
1,100,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,33000000000000000,967000000000000000,0.432
1,100,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,33000000000000000,967000000000000000,0.469
1,100,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,33000000000000000,967000000000000000,0.428
1,100,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,33000000000000000,967000000000000000,0.726
1,100,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,33000000000000000,967000000000000000,0.425
1,100,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,33000000000000000,967000000000000000,0.569
1,100,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,33000000000000000,967000000000000000,0.431
1,100,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,33000000000000000,967000000000000000,0.44
1,100,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,33000000000000000,967000000000000000,0.704
1,100,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,33000000000000000,967000000000000000,0.44
1,100,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,33000000000000000,967000000000000000,0.441
1,100,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,33000000000000000,967000000000000000,0.496
1,100,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,33000000000000000,967000000000000000,0.681
1,100,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,33000000000000000,967000000000000000,0.403
1,100,28,0x40A469977F73155B263A008d1372127afE9FAF55,33000000000000000,967000000000000000,0.713
1,100,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,33000000000000000,967000000000000000,0.8
1,100,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,33000000000000000,967000000000000000,0.691
1,100,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,33000000000000000,967000000000000000,0.459
1,100,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,33000000000000000,967000000000000000,0.474
1,100,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,33000000000000000,967000000000000000,0.468
1,100,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,33000000000000000,967000000000000000,0.406
1,100,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,33000000000000000,967000000000000000,0.432
1,100,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,33000000000000000,967000000000000000,0.572
1,100,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,33000000000000000,967000000000000000,0.456
1,100,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,33000000000000000,967000000000000000,0.442
1,100,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,33000000000000000,967000000000000000,0.544
1,100,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,33000000000000000,967000000000000000,0.467
1,100,41,0xEc276022f61BeC020140D4b84835b83E29669035,33000000000000000,967000000000000000,0.397
1,100,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,33000000000000000,967000000000000000,0.42
1,100,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,33000000000000000,967000000000000000,0.401
1,100,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,33000000000000000,967000000000000000,0.412
1,100,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,33000000000000000,967000000000000000,0.512
1,100,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,33000000000000000,967000000000000000,0.449
1,100,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,33000000000000000,967000000000000000,0.439
1,100,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,33000000000000000,967000000000000000,0.443
1,100,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,33000000000000000,967000000000000000,0.362
1,100,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,33000000000000000,967000000000000000,0.445
1,100,51,0xb59A94067ab007c0BF1cfe30Efa06e21aDb72bDc,0,0,0.422
1,100,52,0x994a854528c41B33660B86FEd54D99B325617adc,0,0,0.488
1,100,53,0xAD4b618eF96f7fcEc93519E18A0D3605445c182a,0,0,0.448
1,100,54,0x514C1035F85E205967A70c681Ee195cBb6289530,0,0,0.414
1,100,55,0x42a7c368AF10Fd3fd3455D1099131B86f39F8007,0,0,0.435
1,100,56,0xDc959dE2516D43aB54419A3E7B1426409cE5fA3e,0,0,0.485
1,100,57,0x64fb88C1194Eb8F4Fdd0dBD5bc7889096F5a077B,0,0,0.446
1,100,58,0xe38aEEf1662320fC13B76b26db44C24bea94B976,0,0,0.412
1,100,59,0xcDe5863464794Fa29eC28aDf16Cda4A7e99F4eac,0,0,0.37
1,100,60,0x71Dd59ef43D2f1456439F83F27c2485e2254625e,0,0,0.595
1,100,61,0xC05B712BD1C6c44Bd3bE816dEaD852D67EB09773,0,0,0.448
1,100,62,0x4e61F88FE32f4FBc004B3A75A44617922fa4E699,0,0,0.397
1,100,63,0xc19C66a62BFff17405b06E0cf2443d13759F2b7b,0,0,0.426
1,100,64,0x3FBF205EC4fE11Fc82433BBAd6D6e488B1a1bA58,0,0,0.426
1,100,65,0x05a24705088EB68168d269ad8E409d34C60D8e0E,0,0,0.48
