Iteration,BatchSize,UserIndex,UserAddress,PenaltyAmount,FinalBill,Latency(s)
1,68,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.452
1,68,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.438
1,68,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.443
1,68,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.43
1,68,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.441
1,68,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.486
1,68,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.571
1,68,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.482
1,68,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.44
1,68,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.518
1,68,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,33000000000000000,967000000000000000,0.419
1,68,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,33000000000000000,967000000000000000,0.434
1,68,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,33000000000000000,967000000000000000,0.571
1,68,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,33000000000000000,967000000000000000,0.641
1,68,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,33000000000000000,967000000000000000,0.557
1,68,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,33000000000000000,967000000000000000,0.437
1,68,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,33000000000000000,967000000000000000,0.43
1,68,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,33000000000000000,967000000000000000,0.531
1,68,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,33000000000000000,967000000000000000,0.434
1,68,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,33000000000000000,967000000000000000,0.422
1,68,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,33000000000000000,967000000000000000,0.439
1,68,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,33000000000000000,967000000000000000,0.434
1,68,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,33000000000000000,967000000000000000,0.386
1,68,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,33000000000000000,967000000000000000,0.45
1,68,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,33000000000000000,967000000000000000,0.532
1,68,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,33000000000000000,967000000000000000,0.41
1,68,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,33000000000000000,967000000000000000,0.394
1,68,28,0x40A469977F73155B263A008d1372127afE9FAF55,33000000000000000,967000000000000000,0.4
1,68,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,33000000000000000,967000000000000000,0.446
1,68,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,33000000000000000,967000000000000000,0.404
1,68,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,33000000000000000,967000000000000000,0.52
1,68,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,33000000000000000,967000000000000000,0.626
1,68,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,33000000000000000,967000000000000000,0.57
1,68,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,33000000000000000,967000000000000000,0.423
1,68,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,0,0,0.488
1,68,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,0,0,0.441
1,68,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,0,0,0.425
1,68,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,0,0,0.62
1,68,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,0,0,0.46
1,68,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,0,0,0.578
1,68,41,0xEc276022f61BeC020140D4b84835b83E29669035,0,0,0.439
1,68,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,0,0,0.43
1,68,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,0,0,0.425
1,68,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,0,0,0.436
1,68,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,0,0,0.482
1,68,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,0,0,0.413
1,68,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,0,0,0.442
1,68,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,0,0,0.701
1,68,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,0,0,0.421
1,68,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,0,0,0.421
1,68,51,0xb59A94067ab007c0BF1cfe30Efa06e21aDb72bDc,0,0,0.425
1,68,52,0x994a854528c41B33660B86FEd54D99B325617adc,0,0,0.945
1,68,53,0xAD4b618eF96f7fcEc93519E18A0D3605445c182a,0,0,0.419
1,68,54,0x514C1035F85E205967A70c681Ee195cBb6289530,0,0,0.613
1,68,55,0x42a7c368AF10Fd3fd3455D1099131B86f39F8007,0,0,0.416
1,68,56,0xDc959dE2516D43aB54419A3E7B1426409cE5fA3e,0,0,0.421
