Iteration,BatchSize,UserIndex,UserAddress,PenaltyAmount,FinalBill,Latency(s)
1,20,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.423
1,20,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.743
1,20,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.46
1,20,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.424
1,20,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.722
1,20,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.418
1,20,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.449
1,20,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.413
1,20,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.692
1,20,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.707
1,20,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,0,0,0.404
1,20,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,0,0,0.396
1,20,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,0,0,0.435
1,20,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,0,0,0.461
1,20,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,0,0,0.475
1,20,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,0,0,0.53
1,20,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,0,0,0.454
1,20,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,0,0,0.444
1,20,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,0,0,0.411
1,20,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,0,0,0.41
2,20,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.402
2,20,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.363
2,20,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.43
2,20,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.528
2,20,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.431
2,20,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.505
2,20,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.429
2,20,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.48
2,20,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.432
2,20,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.556
2,20,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,0,0,0.401
2,20,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,0,0,0.368
2,20,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,0,0,0.701
2,20,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,0,0,0.687
2,20,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,0,0,0.392
2,20,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,0,0,0.408
2,20,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,0,0,0.405
2,20,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,0,0,0.413
2,20,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,0,0,0.402
2,20,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,0,0,0.447
3,20,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.461
3,20,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.467
3,20,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.419
3,20,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.431
3,20,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.807
3,20,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.636
3,20,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.437
3,20,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.432
3,20,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.498
3,20,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.451
3,20,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,0,0,0.682
3,20,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,0,0,0.406
3,20,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,0,0,0.439
3,20,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,0,0,0.643
3,20,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,0,0,0.41
3,20,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,0,0,0.458
3,20,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,0,0,0.473
3,20,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,0,0,0.651
3,20,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,0,0,0.424
3,20,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,0,0,0.449
4,20,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.461
4,20,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.401
4,20,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.471
4,20,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.444
4,20,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,33000000000000000,967000000000000000,0.445
4,20,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,33000000000000000,967000000000000000,0.416
4,20,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,33000000000000000,967000000000000000,0.44
4,20,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,33000000000000000,967000000000000000,0.53
4,20,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,33000000000000000,967000000000000000,0.439
4,20,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,33000000000000000,967000000000000000,0.351
4,20,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,0,0,0.51
4,20,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,0,0,0.456
4,20,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,0,0,0.524
4,20,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,0,0,0.404
4,20,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,0,0,0.652
4,20,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,0,0,0.404
4,20,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,0,0,0.384
4,20,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,0,0,0.697
4,20,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,0,0,0.425
