Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,48102,14.822
1,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,48102,14.87
1,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,48102,15.398
1,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,48102,15.037
1,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,48102,14.954
1,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,48102,11.461
1,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,48102,10.791
1,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,48090,11.714
1,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,48102,11.175
1,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,48102,10.889
2,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,19.075
2,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.204
2,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,15.158
2,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,14.841
2,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,28202,15.32
2,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,28202,14.783
2,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,28202,11.051
2,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,28190,11.219
2,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,28202,11.429
2,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,28202,11.546
3,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,14.801
3,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.335
3,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,15.005
3,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,15.038
3,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,28202,11.127
3,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,28202,11.217
3,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,28202,11.135
3,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,28190,7.226
3,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,28202,8.165
3,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,28202,19.411
4,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,31.106
4,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,27.133
4,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,27.304
4,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,27.424
4,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,28202,27.655
4,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,28202,27.149
4,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,28202,26.889
4,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,28190,23.354
4,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,28202,23.306
4,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,28202,23.126
5,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.468
5,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.219
5,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,14.965
5,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,15.349
