Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,44652,6.956
1,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,44652,7.426
1,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,44652,7.411
1,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,44652,15.489
1,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,44652,16.346
1,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,44652,11.15
1,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,44652,10.946
1,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,44640,11.313
1,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,44652,12.499
1,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,44652,11.02
2,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.137
2,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.097
2,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,11.186
2,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,7.156
2,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,19.36
2,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,19.042
2,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,15.406
2,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,15.158
2,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,15.292
2,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,14.809
3,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.666
3,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,7.039
3,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,7.16
3,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,6.813
3,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,31.077
3,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,31.092
3,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,27.501
3,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,27.248
3,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,27.129
3,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,26.96
4,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,15.076
4,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,10.774
4,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,10.996
4,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,11.136
4,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,11.025
4,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,10.962
4,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,7.715
4,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,7.183
4,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,7.038
4,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,19.146
5,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.387
5,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,10.982
5,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,7
5,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,7.688
5,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,7.056
5,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,31.648
5,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,27.785
5,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,27.496
5,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,27.662
5,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,27.051
6,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,10.938
6,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.189
6,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,7.013
6,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,7.13
6,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,6.91
6,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,18.881
6,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,18.925
6,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,15.193
6,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,14.877
6,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,14.779
7,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,10.881
7,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,10.818
7,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,7.184
7,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,7.597
7,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,19.411
7,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,19.355
7,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,19.563
7,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,15.554
7,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,15.486
7,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,15.391
8,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.015
8,10,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.869
8,10,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,11.187
8,10,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,7.107
8,10,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,,
8,10,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,,
8,10,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,7.122
8,10,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,19.127
8,10,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,15.041
8,10,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,,
9,10,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.386
