Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,19.019
1,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,15.178
2,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.24
2,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,10.898
3,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,35.405
3,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,35.051
4,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,10.582
4,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,7.243
5,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,10.731
5,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.127
6,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.105
6,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.321
7,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,27.14
7,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,27.121
8,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,27.017
8,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,26.944
9,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,39.046
9,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,38.973
10,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,39.352
10,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,39.15
