Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,18,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,,
1,18,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,,
1,18,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,15.127
1,18,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,15.165
1,18,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,,
1,18,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,,
1,18,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,,
1,18,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,,
1,18,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,,
1,18,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,,
1,18,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,48102,6.867
1,18,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,48102,7.002
1,18,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,48102,18.934
1,18,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,48102,18.755
1,18,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,48102,18.944
1,18,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,48102,18.922
1,18,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,48102,14.851
1,18,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,48102,15.125
2,18,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,,
2,18,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,,
2,18,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,27.104
2,18,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,23.45
2,18,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,,
2,18,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,,
2,18,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,,
2,18,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,,
2,18,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,,
2,18,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,,
2,18,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,18.828
2,18,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,18.931
2,18,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,19.159
2,18,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,19.722
2,18,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,15.029
2,18,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,28202,15.183
2,18,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,28202,15.162
2,18,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,28202,15.547
3,18,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,,
3,18,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,,
3,18,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,15.672
3,18,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,11.125
3,18,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,,
3,18,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,,
3,18,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,,
3,18,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,,
3,18,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,,
3,18,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,,
3,18,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,7.629
3,18,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,19.41
3,18,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,19.23
3,18,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,16.218
3,18,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,14.88
3,18,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,28202,26.964
3,18,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,28202,27.113
3,18,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,28202,27.22
4,18,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,,
4,18,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,,
4,18,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,26.864
4,18,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,27.008
4,18,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,,
4,18,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,,
4,18,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,,
4,18,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,,
4,18,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,,
4,18,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,,
4,18,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,18.973
4,18,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,19.328
4,18,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,19.406
4,18,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,15.091
4,18,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,15.124
4,18,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,28202,15.548
4,18,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,28202,15.019
4,18,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,28202,15.542
5,18,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,,
5,18,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,,
5,18,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,27.032
5,18,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,23.515
5,18,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,,
5,18,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,,
5,18,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,,
5,18,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,,
5,18,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,,
5,18,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,,
5,18,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,19.006
5,18,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,19.404
5,18,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,19.203
5,18,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,19.167
5,18,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,15.14
5,18,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,28202,15.178
5,18,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,28202,15.006
5,18,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,28202,14.98
6,18,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,,
6,18,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,,
6,18,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,11.263
6,18,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,11.226
6,18,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,,
6,18,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,,
6,18,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,,
6,18,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,,
6,18,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,,
6,18,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,,
6,18,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,31.374
6,18,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,27.617
6,18,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,27.03
6,18,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,27.359
6,18,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,27.009
6,18,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,28202,23.272
6,18,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,28202,23.378
6,18,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,28202,23.52
7,18,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,,
7,18,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,,
