Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,50,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,14.916
1,50,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,14.771
1,50,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,15.292
1,50,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,11.121
1,50,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,28202,10.945
1,50,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,28202,11.459
1,50,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,28202,11.275
1,50,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,28190,11.083
1,50,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,28202,11.229
1,50,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,28202,7.374
1,50,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,7.464
1,50,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,22.136
1,50,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,21.868
1,50,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,22.244
1,50,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,15.885
1,50,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,28202,16.58
1,50,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,28202,17.814
1,50,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,28202,18.271
1,50,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,28202,12.48
1,50,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,28190,15.414
1,50,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,28202,13.73
1,50,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,28202,14.107
1,50,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,28202,9.001
1,50,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,28202,8.421
1,50,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,28190,19.192
1,50,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,28202,19.347
1,50,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,28202,19.257
1,50,28,0x40A469977F73155B263A008d1372127afE9FAF55,28190,15.376
1,50,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,28202,15.758
1,50,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,28202,16.957
1,50,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,28202,15.844
1,50,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,28202,12.106
1,50,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,28202,23.196
1,50,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,28202,20.448
1,50,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,28202,17.019
1,50,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,28202,15.6
1,50,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,28202,15.609
1,50,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,28202,15.066
1,50,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,28202,11.793
1,50,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,28202,11.909
1,50,41,0xEc276022f61BeC020140D4b84835b83E29669035,28202,11.586
1,50,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,28202,11.766
1,50,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,48102,11.082
1,50,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,48102,7.446
1,50,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,48102,7.67
1,50,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,48102,7.253
1,50,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,48102,6.956
