Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,26,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,13.01
1,26,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,13.893
1,26,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,13.773
1,26,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,13.635
1,26,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,10.038
1,26,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,9.561
1,26,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,22.555
1,26,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,17.297
1,26,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,18.57
1,26,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,17.992
1,26,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,24752,14.154
1,26,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,24752,14.941
1,26,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,24752,11.333
1,26,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,24752,9.22
1,26,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,24752,10.103
1,26,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,24752,4.311
1,26,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,24752,16.768
1,26,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,24752,17.402
1,26,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,44652,14.791
1,26,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,44640,14.493
1,26,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,44652,10.147
1,26,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,44652,8.844
1,26,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,44652,8.68
1,26,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,44652,20.21
1,26,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,44640,16.561
1,26,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,44652,17.506
2,26,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,8.312
2,26,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,8.468
2,26,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,8.112
2,26,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,17.167
2,26,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,16.817
2,26,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,17.006
2,26,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,13.331
2,26,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,13.059
2,26,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,13.206
2,26,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,13.65
2,26,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,24752,9.048
2,26,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,24752,9.206
2,26,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,24752,21.776
2,26,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,24752,18.017
2,26,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,24752,18.447
